Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80684I99900KS,Intel,Core i9-9900KS,1,106,1607,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,2,99.9,128832,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80684I99900KF,Intel,Core i9-9900KF,3,99.7,4355,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,4,99.3,117415,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80684I79700KF,Intel,Core i7-9700KF,5,97.3,1436,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX80684I99900,Intel,Core i9-9900,6,95.8,892,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,7,95.7,20773,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,8,95.4,75,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,9,95,15184,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,BX80684I79700,Intel,Core i7-9700,10,94.9,6367,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,11,94.9,25741,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,100-0000051BOX,AMD,Ryzen 9 3950X,12,94.9,694,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,13,94.7,42,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,BX80684I79700F,Intel,Core i7-9700F,14,94.7,2141,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,15,93.6,77317,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX80684I59600KF,Intel,Core i5-9600KF,16,93.5,2878,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX80684I78700K,Intel,Core i7-8700K,17,92.8,379173,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,100-100000071BOX,AMD,Ryzen 7 3700X,18,92.8,79952,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043
CPU,BX8069510900X,Intel,Core i9-10900X,19,92.3,27,https://cpu.userbenchmark.com/SpeedTest/969950/IntelR-CoreTM-i9-10900X-CPU---370GHz
CPU,BX80684I59600,Intel,Core i5-9600,20,91.8,127,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,BX80684I39350KF,Intel,Core i3-9350KF,21,91.5,131,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,22,91.4,29552,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041
CPU,BX80673I99920X,Intel,Core i9-9920X,23,90.9,432,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,24,90,132445,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX8069510920X,Intel,Core i9-10920X,25,89.9,9,https://cpu.userbenchmark.com/SpeedTest/931866/IntelR-CoreTM-i9-10920X-CPU---350GHz
CPU,BX80673I99940X,Intel,Core i9-9940X,26,89.7,471,https://cpu.userbenchmark.com/SpeedTest/641326/IntelR-CoreTM-i9-9940X-CPU---330GHz
CPU,BX80673I79800X,Intel,Core i7-9800X,27,89.1,1100,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,100-1000000158,AMD,Ryzen 5 3500X,28,89,211,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500X/Rating/4052
CPU,BX80673I99900X,Intel,Core i9-9900X,29,88.8,1273,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz
CPU,BX80673I99960X,Intel,Core i9-9960X,30,88.8,236,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz
CPU,BX8069510980XE,Intel,Core i9-10980XE,31,88.8,11,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz
CPU,BX80684I59500,Intel,Core i5-9500,32,88.5,544,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,BX80684I78700,Intel,Core i7-8700,33,88.4,135773,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,BX80673I97900X,Intel,Core i9-7900X,34,88.4,10169,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,100-100000031BOX,AMD,Ryzen 5 3600,35,88.1,106348,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040
CPU,100-1000000050,AMD,Ryzen 5 3500,36,87.4,232,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053
CPU,BX80677I77700K,Intel,Core i7-7700K,37,87.4,385561,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,BX80673I97940X,Intel,Core i9-7940X,38,87.3,2367,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,BX80673I77820X,Intel,Core i7-7820X,39,87.2,13544,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80673I99980X,Intel,Core i9-9980XE,40,86.8,753,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz
CPU,BX80677I77740X,Intel,Core i7-7740X,41,86.6,3227,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,,Intel,Core i9-9980HK,42,86.5,1418,https://cpu.userbenchmark.com/SpeedTest/797907/IntelR-CoreTM-i9-9980HK-CPU---240GHz
CPU,BX80677I57640X,Intel,Core i5-7640X,43,86.3,1271,https://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz
CPU,BX80673I99820X,Intel,Core i9-9820X,44,86.1,633,https://cpu.userbenchmark.com/SpeedTest/651318/IntelR-CoreTM-i9-9820X-CPU---330GHz
CPU,BX80673I97920X,Intel,Core i9-7920X,45,86,2528,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
CPU,BX80673I97960X,Intel,Core i9-7960X,46,85.4,1277,https://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz
CPU,BX80684I58600,Intel,Core i5-8600,47,85.2,8282,https://cpu.userbenchmark.com/SpeedTest/477251/IntelR-CoreTM-i5-8600-CPU---310GHz
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,48,84,1149,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,49,83.5,5083,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor
CPU,BX80673I77800X,Intel,Core i7-7800X,50,83.4,10092,https://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz
CPU,BX80677I57600K,Intel,Core i5-7600K,51,83.3,124559,https://cpu.userbenchmark.com/Intel-Core-i5-7600K/Rating/3885
CPU,BX80673I97980X,Intel,Core i9-7980XE,52,83.2,2305,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz
CPU,CL8068404069006,Intel,Core i9-9880H,53,82.8,1445,https://cpu.userbenchmark.com/SpeedTest/750169/IntelR-CoreTM-i9-9880H-CPU---230GHz
CPU,BX80684I59400F,Intel,Core i5-9400F,54,82.8,43294,https://cpu.userbenchmark.com/Intel-Core-i5-9400F/Rating/4051
CPU,BX8069510940X,Intel,Core i9-10940X,55,82.7,2,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,BX80684I59400,Intel,Core i5-9400,56,82.6,2829,https://cpu.userbenchmark.com/SpeedTest/735306/IntelR-CoreTM-i5-9400-CPU---290GHz
CPU,BX80684I58500,Intel,Core i5-8500,57,82.5,16190,https://cpu.userbenchmark.com/SpeedTest/447884/IntelR-CoreTM-i5-8500-CPU---300GHz
CPU,YD270XBGAFBOX,AMD,Ryzen 7 2700X,58,81.9,205014,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700X/Rating/3958
CPU,BX80684I38350K,Intel,Core i3-8350K,59,81.7,15381,https://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935
CPU,,Intel,Core i7-9850H,60,81.5,1024,https://cpu.userbenchmark.com/SpeedTest/826055/IntelR-CoreTM-i7-9850H-CPU---260GHz
CPU,FH8068403419332,Intel,Core i7-8559U,61,81.3,1049,https://cpu.userbenchmark.com/SpeedTest/543591/IntelR-CoreTM-i7-8559U-CPU---270GHz
CPU,BX80662I76700K,Intel,Core i7-6700K,62,81,351790,https://cpu.userbenchmark.com/Intel-Core-i7-6700K/Rating/3502
CPU,BX80684I39100,Intel,Core i3-9100,63,80.9,487,https://cpu.userbenchmark.com/SpeedTest/806339/IntelR-CoreTM-i3-9100-CPU---360GHz
CPU,BX80671I76850K,Intel,Core i7-6850K,64,80.9,17294,https://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606
CPU,BX80671I76900K,Intel,Core i7-6900K,65,80,4497,https://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605
CPU,BX80684I39100F,Intel,Core i3-9100F,66,79.9,6781,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054
CPU,BX80684I58400,Intel,Core i5-8400,67,79.7,129372,https://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939
CPU,YD260XBCAFBOX,AMD,Ryzen 5 2600X,68,79.5,139795,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600X/Rating/3956
CPU,BX80646I74790K,Intel,Core i7-4790K,69,78.2,269431,https://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,70,78,2719,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,,Intel,Core i7-1065G7,71,77.7,1823,https://cpu.userbenchmark.com/SpeedTest/888368/IntelR-CoreTM-i7-1065G7-CPU---130GHz
CPU,CM8068403358413,Intel,Core i7-8700T,72,77.6,1672,https://cpu.userbenchmark.com/SpeedTest/480804/IntelR-CoreTM-i7-8700T-CPU---240GHz
CPU,BX80662I56600K,Intel,Core i5-6600K,73,77.2,235551,https://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503
