Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,114,294,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,112,533,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),3,106,316,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,4,102,950,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),5,102,554,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6002FZWX,WD,Black 6TB (2016),6,99.6,3323,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),7,96.8,130,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),8,96.4,49189,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,9,95.6,4151,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),10,94.1,363723,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),11,94,245731,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,WD6001FZWX,WD,Black 6TB (2015),12,93.9,3131,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,0S03839,HGST,Deskstar NAS 6TB,13,93.9,587,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,14,93.4,204,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,WD4004FZWX,WD,Black 4TB (2016),15,92.6,6818,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,16,92.3,431,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,16,92.3,431,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,WD100EFAX,WD,Red 10TB (2017),17,92.2,703,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),18,91.9,4307,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,WD4002FYYZ,WD,Gold 4TB (2016),19,91.5,1962,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,20,91.3,62,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),21,91.2,42162,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,WD2005FBYZ,WD,Gold 2TB (2016),22,90.7,1822,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
